filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200502_SNOW1_inf,F200502,SNOW,1,inf,noisy,,
F200502_SNOW2_-20,F200502,SNOW,2,-20.0,noisy,,-7.390975952148438e-05
F200502_SNOW2_-10,F200502,SNOW,2,-10.0,noisy,,-0.00024437904357910156
F200502_SNOW2_-5,F200502,SNOW,2,-5.0,noisy,,-0.0004762411117553711
F200502_SNOW2_0,F200502,SNOW,2,0.0,noisy,,-0.0007857102173147723
F200502_SNOW2_5,F200502,SNOW,2,5.0,noisy,,-0.0013783574104309082
F200502_SNOW2_10,F200502,SNOW,2,10.0,noisy,,-0.0025528669357299805
F200502_SNOW2_20,F200502,SNOW,2,20.0,noisy,,-0.008362531661987305
F200502_SNOW2_inf,F200502,SNOW,2,inf,noisy,,
F200502_SNOW3_-20,F200502,SNOW,3,-20.0,noisy,,-7.867813110351562e-05
F200502_SNOW3_-10,F200502,SNOW,3,-10.0,noisy,,-0.00024199485778808594
F200502_SNOW3_-5,F200502,SNOW,3,-5.0,noisy,,-0.00045478343963623047
F200502_SNOW3_0,F200502,SNOW,3,0.0,noisy,,-0.0007914061279734597
F200502_SNOW3_5,F200502,SNOW,3,5.0,noisy,,-0.0014206767082214355
F200502_SNOW3_10,F200502,SNOW,3,10.0,noisy,,-0.0023931264877319336
F200502_SNOW3_20,F200502,SNOW,3,20.0,noisy,,-0.008697509765625
F200502_SNOW3_inf,F200502,SNOW,3,inf,noisy,,
F200502_SNOW4_-20,F200502,SNOW,4,-20.0,noisy,,-0.00013113021850585938
F200502_SNOW4_-10,F200502,SNOW,4,-10.0,noisy,,-0.00040650367736816406
F200502_SNOW4_-5,F200502,SNOW,4,-5.0,noisy,,-0.0007456541061401367
F200502_SNOW4_0,F200502,SNOW,4,0.0,noisy,,-0.0012600528134498745
F200502_SNOW4_5,F200502,SNOW,4,5.0,noisy,,-0.0022020936012268066
F200502_SNOW4_10,F200502,SNOW,4,10.0,noisy,,-0.0042885541915893555
F200502_SNOW4_20,F200502,SNOW,4,20.0,noisy,,-0.014394521713256836
F200502_SNOW4_inf,F200502,SNOW,4,inf,noisy,,
F200502_VACUUM0_-20,F200502,VACUUM,0,-20.0,noisy,,-4.76837158203125e-06
F200502_VACUUM0_-10,F200502,VACUUM,0,-10.0,noisy,,-5.4836273193359375e-05
F200502_VACUUM0_-5,F200502,VACUUM,0,-5.0,noisy,,-0.00010788440704345703
F200502_VACUUM0_0,F200502,VACUUM,0,0.0,noisy,,-0.00014418723367271014
F200502_VACUUM0_5,F200502,VACUUM,0,5.0,noisy,,-0.0003218650817871094
F200502_VACUUM0_10,F200502,VACUUM,0,10.0,noisy,,-0.00034689903259277344
F200502_VACUUM0_20,F200502,VACUUM,0,20.0,noisy,,-0.0014805793762207031
F200502_VACUUM0_inf,F200502,VACUUM,0,inf,noisy,,
F200502_VACUUM1_-20,F200502,VACUUM,1,-20.0,noisy,,-1.1920928955078125e-05
F200502_VACUUM1_-10,F200502,VACUUM,1,-10.0,noisy,,-4.76837158203125e-05
F200502_VACUUM1_-5,F200502,VACUUM,1,-5.0,noisy,,-4.887580871582031e-05
F200502_VACUUM1_0,F200502,VACUUM,1,0.0,noisy,,-0.00015790727047715336
