filename,speech_name,noise_name,realization,SNR,technique,pesq,stoi,srmr
F200707_SNOW3_-10,F200707,SNOW,3,-10.0,noisy,0.9432977437973022,0.3787970316120684,0.40771920532052164
F200707_SNOW3_-5,F200707,SNOW,3,-5.0,noisy,0.9342634677886963,0.4601044780327455,0.5738586392223493
F200707_SNOW3_0,F200707,SNOW,3,0.0,noisy,1.2481975555419922,0.5705914994376707,1.2719182400627993
F200707_SNOW3_5,F200707,SNOW,3,5.0,noisy,1.632346510887146,0.6903752818965984,3.4248845668265004
F200707_SNOW3_10,F200707,SNOW,3,10.0,noisy,1.9670261144638062,0.7977526544251261,7.660341817903632
F200707_SNOW3_20,F200707,SNOW,3,20.0,noisy,2.6282284259796143,0.9406347277908581,15.099629819992932
F200707_SNOW3_inf,F200707,SNOW,3,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_SNOW4_-20,F200707,SNOW,4,-20.0,noisy,0.7343162894248962,0.3503788216866522,0.355857442015485
F200707_SNOW4_-10,F200707,SNOW,4,-10.0,noisy,0.8235375285148621,0.42837556520437686,0.38472268877336013
F200707_SNOW4_-5,F200707,SNOW,4,-5.0,noisy,1.0110764503479004,0.5075536311715969,0.5722368372893105
F200707_SNOW4_0,F200707,SNOW,4,0.0,noisy,1.231345534324646,0.6092444981260373,1.3640493732188883
F200707_SNOW4_5,F200707,SNOW,4,5.0,noisy,1.573005199432373,0.7192421987262279,3.6890729521490297
F200707_SNOW4_10,F200707,SNOW,4,10.0,noisy,1.936974287033081,0.817361616846251,8.049234492411975
F200707_SNOW4_20,F200707,SNOW,4,20.0,noisy,2.6275694370269775,0.9474887017999075,15.287365882405853
F200707_SNOW4_inf,F200707,SNOW,4,inf,noisy,4.5,0.9999999999999989,17.19445045532646
F200707_VACUUM0_-20,F200707,VACUUM,0,-20.0,noisy,1.2332632541656494,0.38915392879045674,0.519623788891823
F200707_VACUUM0_-10,F200707,VACUUM,0,-10.0,noisy,1.3156431913375854,0.4992844369721487,0.6767904892583382
F200707_VACUUM0_-5,F200707,VACUUM,0,-5.0,noisy,1.4462064504623413,0.5695520721602443,1.2274927541057703
